node_id,hour,precomputed_risk
1000000,0,3.607
1000001,0,3.181
1000002,0,1.11
1000003,0,1.374
1000004,0,4.092
1000005,0,4.439
1000006,0,0.305
1000007,0,3.935
1000008,0,0.961
1000009,0,6.47
1000010,0,1.117
1000011,0,5.282
1000012,0,1.844
1000013,0,1.134
1000014,0,1.591
1000015,0,0.31
1000016,0,3.221
1000017,0,4.509
1000018,0,2.83
1000019,0,3.089
1000020,0,2.317
1000021,0,2.063
1000022,0,1.145
1000023,0,0.649
1000024,0,0.079
1000025,0,0.129
1000026,0,3.954
1000027,0,6.953
1000028,0,3.488
1000029,0,3.661
1000030,0,4.387
1000031,0,0.19
1000032,0,4.632
1000033,0,0.187
1000034,0,0.03
1000035,0,3.279
1000036,0,1.309
1000037,0,3.182
1000038,0,6.416
1000039,0,6.385
1000040,0,3.186
1000041,0,1.687
1000042,0,1.388
1000043,0,3.141
1000044,0,0.889
1000045,0,2.912
1000046,0,2.185
1000047,0,3.233
1000048,0,2.084
1000049,0,5.653
1000050,0,4.826
1000051,0,3.055
1000052,0,6.213
1000053,0,4.995
1000054,0,2.947
1000055,0,4.852
1000056,0,1.743
1000057,0,2.41
1000058,0,4.986
1000059,0,6.0
1000060,0,2.703
1000061,0,3.819
1000062,0,4.5
1000063,0,1.072
1000064,0,5.115
1000065,0,5.065
1000066,0,3.266
1000067,0,1.849
1000068,0,1.133
1000069,0,6.867
1000070,0,1.145
1000071,0,3.784
1000072,0,0.837
1000073,0,3.406
1000074,0,1.059
1000075,0,2.018
1000076,0,1.358
1000077,0,1.557
1000078,0,5.406
1000079,0,0.379
1000080,0,3.623
1000081,0,3.458
1000082,0,0.47
1000083,0,4.154
1000084,0,4.998
1000085,0,1.579
1000086,0,1.704
1000087,0,2.625
1000088,0,3.431
1000089,0,3.132
1000090,0,2.633
1000091,0,0.801
1000092,0,6.306
1000093,0,0.735
1000094,0,0.592
1000095,0,5.68
1000096,0,6.015
1000097,0,4.661
1000098,0,5.603
1000099,0,1.838
1000100,0,2.652
1000101,0,4.623
1000102,0,4.297
1000103,0,2.059
1000104,0,6.062
1000105,0,1.491
1000106,0,4.424
1000107,0,1.105
1000108,0,3.498
1000109,0,2.084
1000110,0,5.861
1000111,0,0.052
1000112,0,3.497
1000113,0,2.608
1000114,0,1.424
1000115,0,2.42
1000116,0,1.37
1000117,0,2.378
1000118,0,0.21
1000119,0,1.976
1000120,0,3.91
1000121,0,6.175
1000122,0,1.336
1000123,0,4.936
1000124,0,4.905
1000125,0,6.034
1000126,0,4.451
1000127,0,1.922
1000128,0,4.023
1000129,0,3.54
1000130,0,4.182
1000131,0,2.311
1000132,0,2.172
1000133,0,4.617
1000134,0,0.891
1000135,0,4.53
1000136,0,5.828
1000137,0,0.845
1000138,0,3.447
1000139,0,5.553
1000140,0,2.532
1000141,0,3.716
1000142,0,2.731
1000143,0,2.715
1000144,0,1.265
1000145,0,6.36
1000146,0,1.913
1000147,0,0.153
1000148,0,3.936
1000149,0,2.501
1000150,0,0.542
1000151,0,4.014
1000152,0,4.596
1000153,0,3.513
1000154,0,1.061
1000155,0,5.318
1000156,0,3.309
1000157,0,2.193
1000158,0,1.623
1000159,0,1.317
1000160,0,6.14
1000161,0,2.29
1000162,0,1.987
1000163,0,0.385
1000164,0,0.065
1000165,0,4.496
1000166,0,2.275
1000167,0,1.32
1000168,0,0.407
1000169,0,3.88
1000170,0,6.087
1000171,0,6.494
1000172,0,6.677
1000173,0,0.297
1000174,0,3.795
1000175,0,2.789
1000176,0,3.8
1000177,0,4.539
1000178,0,1.011
